DEPTH,GR,PE,SP,CAL,AC,DEN,CNL,RXO,RT,QT,DEVI,AZIM,BIT,CASE,SH,CARB,POR,PERM,SXO,SW,SOG,LAYER,RESULT,LOG_ID_FROM_FILENAME,CGR,interpretation_status,vsh_Linear,vsh_Larionov_Optimized,vsh_Clavier,vsh_Neutron_Density,vsh_final,sh_frac,abs_diff,lithology_kb,porosity_model_kb,phie_final,TH,K,U,rock_type,k_final,permeability_model_used,sw_final,sxo_final,so_final,so_movable,vsan_auto,vlim_auto,vdol_auto,carb_auto,RESULT_AUTO
1860.0,51.034,1.952,77.886,21.193,242.779,2.339,15.724,54.609,89.9,,0.165,58.709,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.1772326596028848,,0.0843073123498858,0.2177571277719112,0.2177571277719112,,,Shale,Sonic,0.1174393633118043,,,,RT3_Shaly_Sand,0.001,Param_Error_MultiLinear_V2,1.0,0.8023633286775568,0.0,0.0,0.1343749714060902,0.5304285375101943,0.0,0.5304285375101943,水层
1860.1,48.618,1.937,77.852,21.189,243.715,2.33,15.981,55.05,90.577,,0.159,41.346,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.1593060873178405,,0.0747021662788987,0.2291495422177004,0.2291495422177004,,,Shale,Sonic,0.1230395458400216,,,,RT3_Shaly_Sand,0.001,Param_Error_MultiLinear_V2,1.0,0.8108339308760064,0.0,0.0,0.0018416940742247,0.6459692178680533,0.0,0.6459692178680533,水层
1860.2,44.493,1.958,77.826,21.195,243.612,2.327,16.068,55.374,91.789,,0.179,23.943,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.1286988395215623,,0.058885063935004,0.2326753768844219,0.2326753768844219,,,Shale,Sonic,0.1239426017974953,,,,RT3_Shaly_Sand,0.001,Param_Error_MultiLinear_V2,1.0,0.8147144529077844,0.0,0.0,0.0,0.6034340400773565,0.0399479812407264,0.643382021318083,水层
1860.3,42.667,1.992,77.8,21.188,242.791,2.331,15.955,54.71,92.159,,0.226,25.31,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.1151500311637432,,0.0521133453135349,0.2277528089887638,0.2277528089887638,,,Shale,Sonic,0.1207336465044319,,,,RT3_Shaly_Sand,0.001,Param_Error_MultiLinear_V2,1.0,0.8066156386620118,0.0,0.0,0.0212356046724911,0.6302779398343131,0.0,0.6302779398343131,水层
1860.4,44.266,2.028,77.773,21.182,242.105,2.342,15.618,53.994,92.647,,0.273,35.964,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.1270145134004096,,0.0580356293070536,0.2151999999999993,0.2151999999999993,,,Shale,Sonic,0.1152025173185458,,,,RT3_Shaly_Sand,0.001,Param_Error_MultiLinear_V2,1.0,0.7956561094524693,0.0,0.0,0.1648751205997582,0.5047223620816965,0.0,0.5047223620816965,水层
1860.5,48.22,2.057,77.744,21.19,241.942,2.353,15.287,54.047,94.528,,0.306,50.708,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.1563529516516784,,0.0731442528000652,0.2009629629629618,0.2009629629629618,,,Shale,Sonic,0.1099216825887258,,,,RT3_Shaly_Sand,0.001,Param_Error_MultiLinear_V2,1.0,0.791047488353021,0.0,0.0,0.3308852684766871,0.3582300859716253,0.0,0.3582300859716253,水层
1860.6,52.324,2.07,77.711,21.222,242.576,2.36,15.125,55.39,98.59,,0.317,65.841,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.1868043807319027,,0.0895410622078232,0.1874275782155273,0.1874275782155273,,,Shale,Sonic,0.1063306358291668,,,,RT3_Shaly_Sand,0.001,Param_Error_MultiLinear_V2,1.0,0.797875430350838,0.0,0.0,0.4933197110346817,0.2129220749206241,0.0,0.2129220749206241,水层
1860.7,53.243,2.05,77.666,21.283,244.179,2.36,15.268,58.24,105.139,,0.295,79.122,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.1936233045439706,,0.0933147820509725,0.1764913093858633,0.1764913093858633,,,Shale,Sonic,0.1056406354968019,,,,RT3_Shaly_Sand,0.001,Param_Error_MultiLinear_V2,1.0,0.8183282628113585,0.0,0.0,0.629540111785122,0.0883279433322127,0.0,0.0883279433322127,水层
1860.8,54.216,2.019,77.588,21.352,246.261,2.352,15.83,60.56,110.088,,0.233,85.478,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.2008429050544623,,0.0973515480889026,0.164491620111732,0.164491620111732,,,Shale,Sonic,0.1055232899949752,,,,RT3_Shaly_Sand,0.001,Param_Error_MultiLinear_V2,1.0,0.8339743261340813,0.0,0.0,0.7299850898932928,0.0,0.0,0.0,水层
1860.9,55.342,1.986,77.487,21.369,248.036,2.338,16.831,61.594,111.987,,0.181,82.705,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.2091977562104888,,0.1020765224511492,0.144220820189274,0.144220820189274,,,Shale,Sonic,0.1013262739534917,,,,RT2_Medium_Quality_Sand,0.001,Param_Error_PowerLaw,0.2574964503961265,0.358929944775825,0.7425035496038734,0.0087955940389041,0.7544529058572342,0.0,0.0,0.0,待会诊
