DEPTH,GR,PE,SP,CAL,AC,DEN,CNL,RXO,RT,QT,DEVI,AZIM,BIT,CASE,SH,CARB,POR,PERM,SXO,SW,SOG,LAYER,RESULT,WELL_NAME,cluster_label
1860.0,51.034,1.952,77.886,21.193,242.779,2.339,15.724,54.609,89.9,,0.165,58.709,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1860.1,48.618,1.937,77.852,21.189,243.715,2.33,15.981,55.05,90.577,,0.159,41.346,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1860.2,44.493,1.958,77.826,21.195,243.612,2.327,16.068,55.374,91.789,,0.179,23.943,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1860.3,42.667,1.992,77.8,21.188,242.791,2.331,15.955,54.71,92.159,,0.226,25.31,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1860.4,44.266,2.028,77.773,21.182,242.105,2.342,15.618,53.994,92.647,,0.273,35.964,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1860.5,48.22,2.057,77.744,21.19,241.942,2.353,15.287,54.047,94.528,,0.306,50.708,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1860.6,52.324,2.07,77.711,21.222,242.576,2.36,15.125,55.39,98.59,,0.317,65.841,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1860.7,53.243,2.05,77.666,21.283,244.179,2.36,15.268,58.24,105.139,,0.295,79.122,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1860.8,54.216,2.019,77.588,21.352,246.261,2.352,15.83,60.56,110.088,,0.233,85.478,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1860.9,55.342,1.986,77.487,21.369,248.036,2.338,16.831,61.594,111.987,,0.181,82.705,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1861.0,56.84,1.962,77.372,21.358,249.129,2.326,17.691,62.083,112.278,,0.15,72.12,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1861.1,58.113,1.955,77.256,21.342,249.251,2.32,18.228,62.593,112.202,,0.147,56.616,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1861.2,57.747,1.987,77.152,21.338,248.186,2.321,18.343,63.501,112.788,,0.173,40.64,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1861.3,54.465,2.039,77.065,21.361,246.27,2.329,18.024,63.976,113.155,,0.22,39.809,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1861.4,48.693,2.101,76.993,21.407,244.323,2.341,17.252,63.448,112.629,,0.251,48.796,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1861.5,43.164,2.161,76.944,21.443,242.716,2.35,16.433,62.436,111.983,,0.267,62.857,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1861.6,39.152,2.204,76.926,21.441,241.739,2.351,15.725,61.585,112.177,,0.266,77.367,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1861.7,36.499,2.199,76.949,21.38,241.609,2.347,15.258,61.665,114.359,,0.251,87.798,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1861.8,35.281,2.161,77.012,21.319,242.029,2.337,15.125,63.21,119.002,,0.223,85.069,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1861.9,34.666,2.098,77.092,21.302,242.328,2.326,15.253,63.466,120.442,,0.196,73.714,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1862.0,34.686,2.022,77.182,21.314,242.214,2.321,15.299,61.894,117.476,,0.181,57.868,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1862.1,34.885,1.947,77.277,21.347,241.509,2.324,15.2,59.079,111.219,,0.185,42.24,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1862.2,34.326,1.902,77.373,21.394,240.142,2.334,14.926,56.717,105.075,,0.214,32.149,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1862.3,34.838,1.883,77.468,21.408,238.698,2.349,14.477,57.037,103.374,,0.258,38.285,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1862.4,35.298,1.888,77.55,21.342,237.833,2.367,13.898,58.4,103.198,,0.281,51.618,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1862.5,35.865,1.911,77.605,21.264,237.838,2.378,13.462,59.146,101.826,,0.283,66.816,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
1862.6,35.924,1.945,77.622,21.224,238.871,2.38,13.331,58.429,98.073,,0.265,79.866,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,4.0
