DEPTH,GR,PE,SP,CAL,AC,DEN,CNL,RXO,RT,QT,DEVI,AZIM,BIT,CASE,SH,CARB,POR,PERM,SXO,SW,SOG,LAYER,RESULT,LOG_ID_FROM_FILENAME,CGR,interpretation_status,vsh_Linear,vsh_Larionov_Optimized,vsh_Clavier,vsh_Neutron_Density,vsh_final,sh_frac,abs_diff
1860.0,51.034,1.952,77.886,21.193,242.779,2.339,15.724,54.609,89.9,,0.165,58.709,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.17528333333333332,0.09168711730354569,0.08325045650574281,0.0,0.17528333333333332,,
1860.1,48.618,1.937,77.852,21.189,243.715,2.33,15.981,55.05,90.577,,0.159,41.346,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.15515,0.07998850557096082,0.07251160449605654,0.0,0.15515,,
1860.2,44.493,1.958,77.826,21.195,243.612,2.327,16.068,55.374,91.789,,0.179,23.943,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.12077500000000002,0.06075405865457162,0.054907783929727616,0.0,0.12077500000000002,,
1860.3,42.667,1.992,77.8,21.188,242.791,2.331,15.955,54.71,92.159,,0.226,25.31,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.10555833333333335,0.05252794124477056,0.04740332458363494,0.0,0.10555833333333335,,
1860.4,44.266,2.028,77.773,21.182,242.105,2.342,15.618,53.994,92.647,,0.273,35.964,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.11888333333333331,0.059721955074200306,0.053965344718134745,0.0,0.11888333333333331,,
1860.5,48.22,2.057,77.744,21.19,241.942,2.353,15.287,54.047,94.528,,0.306,50.708,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.15183333333333332,0.07809246510455885,0.07077319804079374,0.0,0.15183333333333332,,
1860.6,52.324,2.07,77.711,21.222,242.576,2.36,15.125,55.39,98.59,,0.317,65.841,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.18603333333333333,0.0980684860306807,0.08911672296773077,0.0,0.18603333333333333,,
1860.7,53.243,2.05,77.666,21.283,244.179,2.36,15.268,58.24,105.139,,0.295,79.122,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.19369166666666668,0.1026729504577036,0.09335280632910714,0.0,0.19369166666666668,,
1860.8,54.216,2.019,77.588,21.352,246.261,2.352,15.83,60.56,110.088,,0.233,85.478,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.2018,0.10760154324665631,0.09788990390797414,0.0,0.2018,,
1860.9,55.342,1.986,77.487,21.369,248.036,2.338,16.831,61.594,111.987,,0.181,82.705,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.21118333333333333,0.1133747190063572,0.1032079242883388,0.0,0.21118333333333333,,
1861.0,56.84,1.962,77.372,21.358,249.129,2.326,17.691,62.083,112.278,,0.15,72.12,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.2236666666666667,0.1211725367843149,0.11039631074632661,0.0,0.2236666666666667,,
1861.1,58.113,1.955,77.256,21.342,249.251,2.32,18.228,62.593,112.202,,0.147,56.616,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.23427499999999998,0.1279060148715748,0.11660800040703756,0.0,0.23427499999999998,,
1861.2,57.747,1.987,77.152,21.338,248.186,2.321,18.343,63.501,112.788,,0.173,40.64,21.59,,,,,,,,,J2z,未解释,0473ffd021f94d17a9091d6a3b5ac567,,Success,0.23122499999999999,0.12595992080818777,0.11481231414857374,0.0,0.23122499999999999,,
